Title,Description,Director,Genres,Cast,Origin_Country,Release_Date,Rating,Duration,Imdb_Rating,Type
Aalorukkam,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",V C Abhilash,"Dramas, Independent Movies, International Movies","Indrans, Sreekanth Menon, Vishnu Agasthya, Aliyar, Seethabaala, Shaji John, Sajith Nampiyar, Benny Vadakkan",India,2018.0,TV-PG,122 min,6.3/10,Movie
Aamir,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",Raj Kumar Gupta,"International Movies, Thrillers","Rajeev Khandelwal, Gajraj Rao, Shashanka Ghosh, Jhilmil Hazrika, Gazala Amin, Allauddin Khan",India,2008.0,TV-14,95 min,7.8/10,Movie
Aaviri,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",Ravi Babu,"Horror Movies, International Movies, Thrillers","Ravi Babu, Neha Chauhan, Sri Muktha, Bharani Shankar, Mukhtar Khan, Priya",India,2019.0,TV-14,110 min,4.6/10,Movie
Abduction,"When a teen comes across his own childhood photo on a missing persons website, he begins to question everything he's ever known.",John Singleton,Action & Adventure,"Taylor Lautner, Lily Collins, Alfred Molina, Jason Isaacs, Maria Bello, Sigourney Weaver, Michael Nyqvist, Dermot Mulroney, Nickola Shreli, Elisabeth Röhm",United States,2011.0,PG-13,106 min,5.3/10,Movie
Abzurdah,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.,Daniela Goggi,"Dramas, International Movies","Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul",Argentina,2015.0,TV-MA,90 min,5.5/10,Movie
Accepted,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts.",Steve Pink,Comedies,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short, Maria Thayer, Lewis Black, Blake Lively, Mark Derwin, Ann Cusack, Robin Lord Taylor, Hannah Marks, Anthony Heald",United States,2006.0,PG-13,93 min,6.3/10,Movie
Accident,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.,Cheang Pou Soi,"International Movies, Thrillers","Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok",Hong Kong,2009.0,TV-MA,87 min,6.4/10,Movie
Accomplice,Traverse the globe with the world's top riders as they pedal through rugged terrain and majestic locations in this visual homage to the bicycle.,Jeremy Grant,"Documentaries, International Movies, Sports Movies","Kurt Sorge, Tom Van Steenbergen, Cameron Zink, Graham Agassiz, Tyler McCaul, Cameron McCaul, Ethan Nell, Hannah Bergemann, Carson Storch, Brandon Semenuk, Veronique Sandler, Nico Vink, Garett Buehler, Jaxson Riddle, Andreu Lacondeguy, Paul Genovese, Paul Basagoitia",United States,2021.0,TV-14,52 min,7.4/10,Movie
Adrift,A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.,Baltasar Kormákur,"Action & Adventure, Dramas, Romantic Movies","Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne","Hong Kong, Iceland, United States",2018.0,PG-13,96 min,6.5/10,Movie
Advantageous,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",Jennifer Phang,"Dramas, Independent Movies, Sci-Fi & Fantasy","Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth",United States,2015.0,TV-MA,92 min,6.3/10,Movie
